Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ICICIBANK,EQ,25-Sep-07,996.3,999.75,1008.05,968.65,992,993.05,992.29,2888786,2866499125,-
ICICIBANK,EQ,26-Sep-07,993.05,997.3,1032.9,994.1,1029,1020,1015.18,3919381,3978864557,-
ICICIBANK,EQ,27-Sep-07,1020,1040,1040,1010.3,1025.25,1028.25,1025.56,4151392,4257521812,-
ICICIBANK,EQ,28-Sep-07,1028.25,1040,1069.9,1027,1060.2,1062.4,1047.9,4317588,4524418565,-
ICICIBANK,EQ,01-Oct-07,1062.4,1068,1068,1035,1058,1057.8,1051.42,3191887,3356026830,-
ICICIBANK,EQ,03-Oct-07,1057.8,1062,1125.4,1050,1092,1086.55,1089.67,5061967,5515851404,-
ICICIBANK,EQ,04-Oct-07,1086.55,1079.9,1080,1018,1067,1068,1050.62,3448524,3623092722,-
ICICIBANK,EQ,05-Oct-07,1068,1069,1079,1025,1028,1036.4,1052.66,2677973,2818997918,-
ICICIBANK,EQ,08-Oct-07,1036.4,1040,1047.7,1001,1025,1021.2,1016.11,2210139,2245733613,-
ICICIBANK,EQ,09-Oct-07,1021.2,1002.1,1055,975,1047,1045.65,1033.09,4217699,4357277611,-
ICICIBANK,EQ,10-Oct-07,1045.65,1053,1078,1053,1074,1070.55,1064.49,2387986,2541978532,-
ICICIBANK,EQ,11-Oct-07,1070.55,1036.65,1098.95,1036.65,1094,1091.25,1081.29,2345410,2536074527,-
ICICIBANK,EQ,12-Oct-07,1091.25,1063,1082.9,1044,1056.65,1055,1063.14,2252462,2394691998,-
ICICIBANK,EQ,15-Oct-07,1055,1060,1103.25,1060,1100,1097.45,1081.4,2443183,2642047627,-
ICICIBANK,EQ,16-Oct-07,1097.45,1100,1182.9,1084.05,1146.5,1159.65,1142.72,6103090,6974110936,-
ICICIBANK,EQ,17-Oct-07,1159.65,1060,1152.05,1020,1116,1117.1,1095.17,3621066,3965698238,-
ICICIBANK,EQ,18-Oct-07,1117.1,1118,1150,1013,1040,1036.5,1058.39,6774881,7170448069,-
ICICIBANK,EQ,19-Oct-07,1036.5,1039.7,1064.4,981.1,1013.5,1022.8,1009.07,6733466,6794549359,-
ICICIBANK,EQ,22-Oct-07,1022.8,1000.1,1086,1000.1,1080.3,1061.35,1052.22,5236930,5510425585,-
ICICIBANK,EQ,23-Oct-07,1061.35,1075,1110,1075,1096.4,1102,1096.06,3379980,3704667796,-
ICICIBANK,EQ,24-Oct-07,1102,1115,1136,1090.2,1100,1099.9,1103.76,3202006,3534231466,-
ICICIBANK,EQ,25-Oct-07,1099.9,1094,1175,1090,1131,1144.65,1135.37,6440390,7312204166,-
ICICIBANK,EQ,26-Oct-07,1144.65,1100.25,1200,1100.25,1193.25,1187.5,1161.98,2751290,3196956524,-
ICICIBANK,EQ,29-Oct-07,1187.5,1210.1,1272,1195.5,1240.05,1240.65,1232.79,5060893,6239029417,-
ICICIBANK,EQ,30-Oct-07,1240.65,1251.25,1293.95,1202.65,1239.95,1240.2,1248.97,5084486,6350355516,-
ICICIBANK,EQ,31-Oct-07,1240.2,1241,1271,1213.6,1265,1254.05,1253.74,2122805,2661441783,-
ICICIBANK,EQ,01-Nov-07,1254.05,1270,1318,1240,1298,1298.3,1289.17,5076881,6544937846,-
ICICIBANK,EQ,02-Nov-07,1298.3,1242.6,1349,1236,1332,1333.4,1285.46,1964505,2525288129,-
ICICIBANK,EQ,05-Nov-07,1333.4,1329.85,1330,1250.15,1270,1269.85,1285.43,4281423,5503463219,-
ICICIBANK,EQ,06-Nov-07,1269.85,1299.4,1299.4,1217.25,1241.35,1241.8,1260.16,2750831,3466474517,-
ICICIBANK,EQ,07-Nov-07,1241.8,1267.7,1280,1194,1198.65,1200.8,1228.08,3414688,4193493895,-
ICICIBANK,EQ,08-Nov-07,1200.8,1167,1193,1158,1170,1169.05,1170.23,2502941,2929005599,-
ICICIBANK,EQ,09-Nov-07,1169.05,1195,1211.35,1126,1127.05,1144.45,1154.24,229938,265402930.1,-
ICICIBANK,EQ,12-Nov-07,1144.45,1100.05,1162,1084,1153.1,1145.35,1125.5,3165992,3563312744,-
ICICIBANK,EQ,13-Nov-07,1145.35,1145,1199.4,1110,1178,1173.7,1151.63,3167296,3647543972,-
ICICIBANK,EQ,14-Nov-07,1173.7,1233.35,1303,1206.4,1295.2,1278.55,1245.54,2860771,3563217498,-
ICICIBANK,EQ,15-Nov-07,1278.55,1280,1294.9,1222.65,1242,1241.65,1245.11,1851422,2305227053,-
ICICIBANK,EQ,16-Nov-07,1241.65,1210,1244.2,1205,1220.1,1220.05,1226.66,2102401,2578941016,-
ICICIBANK,EQ,19-Nov-07,1220.05,1225,1240,1178,1181,1187.7,1198.81,2988405,3582537059,-
ICICIBANK,EQ,20-Nov-07,1187.7,1170.95,1210,1145,1160,1160.45,1184.68,2473108,2929849235,-
ICICIBANK,EQ,21-Nov-07,1160.45,1175,1175,1080,1111.25,1106.45,1106.53,3876611,4289598855,-
ICICIBANK,EQ,22-Nov-07,1106.45,1110,1160.5,1085.25,1155,1145.35,1114.92,2657045,2962392422,-
ICICIBANK,EQ,23-Nov-07,1145.35,1129.95,1159.8,1110,1138.25,1139.4,1130.91,1966269,2223665967,-
ICICIBANK,EQ,26-Nov-07,1139.4,1164.9,1178,1148.8,1151,1156.8,1160.72,1945629,2258329494,-
ICICIBANK,EQ,27-Nov-07,1156.8,1144.85,1144.85,1105,1130.1,1132.3,1131.69,2851531,3227052350,-
ICICIBANK,EQ,28-Nov-07,1132.3,1169.9,1169.9,1116.4,1122,1122.9,1147.36,3146108,3609722570,-
ICICIBANK,EQ,29-Nov-07,1122.9,1148,1185,1140,1158.9,1161.75,1167.53,2966209,3463128428,-
ICICIBANK,EQ,30-Nov-07,1161.75,1170,1193.5,1146.65,1175,1178.4,1173.14,2001418,2347934579,-
ICICIBANK,EQ,03-Dec-07,1178.4,1180,1188,1156.25,1163,1162,1165,3538453,4122294533,-
ICICIBANK,EQ,04-Dec-07,1162,1165,1165,1133.2,1140.9,1139.7,1144.56,2556057,2925549155,-
ICICIBANK,EQ,05-Dec-07,1139.7,1145,1177,1131,1171.95,1164.05,1145.37,4249970,4867783960,-
ICICIBANK,EQ,06-Dec-07,1164.05,1198.8,1219.7,1180,1209,1200.7,1198.32,3008947,3605676457,-
